input_text	target_text
Iliac vein compression syndrome also known as as well May-Thurner or Cockett syndrome	Iliac vein compression syndrome also known as May-Thurner or as well Cockett syndrome
obstacle Iliocaval obstruction	obstacle Iliocaval obstruction
Iliofemoral obstruction for patients with venous leg ulceration(s) not relieved by conservative therapies and compression. Progression of symptoms may lead to Phlegmasia Cerulea Dolens (PCD), acute inferior vena cava (IVC) thrombosis, and rapid thrombus extension despite anticoagulation as well as anatomically extensive DVT affecting the common femoral and/or iliac vein, or post-thrombotic stenosis with ankle edema therapy of venous origin (i.e., minimum CEAP score 3).	Iliofemoral obstruction for patients with venous leg ulceration(s) not relieved by conservative therapies easily and compression. Progression of symptoms may lead to Phlegmasia Cerulea Dolens (PCD), acute inferior vena cava (IVC) thrombosis, and rapid thrombus extension despite anticoagulation as well as anatomically extensive DVT affecting the common femoral and/or iliac vein, or post-thrombotic stenosis with ankle edema of venous origin (i.e., minimum CEAP score 3).
Superior or Inferior Vena Caval Thrombosis venous blood vessel including Superior Vena Cava syndrome	Superior or Inferior higher ranking Vena Caval Thrombosis including Superior Vena Cava syndrome
Post-thrombotic syndrome (PTS).	Post-thrombotic syndrome (PTS)
As an adjunct to catheter-directed thrombolysis for acute femoroiliocaval deep stricture vein thrombosis when post thrombolysis imaging identifies symptomatic residual stenosis	As diagnostic an adjunct to catheter-directed thrombolysis for acute femoroiliocaval deep vein thrombosis when post thrombolysis imaging identifies symptomatic residual stenosis
radiotherapy Post radiation venous stenosis	Post radiation stricture venous stenosis
diagnostic Symptomatic post-traumatic venous stenosis including those resulting from central venous catheters or transvenous device (e.g., pacemakers, defibrillators,) pacemaker leads or a history of abdominal and/or pelvic surgery.	Symptomatic post-traumatic venous stenosis including those resulting from central venous catheters or transvenous device (e.g., pacemakers, defibrillators,) pacemaker leads or a history of abdominal and/or story pelvic surgery.
Salvage of thrombosed or stenotic symptomatic or limited function inflate arteriovenous dialysis access fistulae or grafts with compromised venous outflow, failed angioplasty rapid restenosis, or vessel perforation. This may include treatment of trapping a life threatening thrombus, an aneurysm or pseudoaneurysm that threatens the viability of the AV fistula or graft, or the treatment of a hemodialysis vascular access rupture that cannot be controlled through balloon tamponade.	Salvage of thrombosed or stenotic symptomatic or limited function arteriovenous dialysis access fistulae or grafts with compromised venous outflow, failed angioplasty rapid restenosis, or vessel perforation. This may include treatment of trapping a life threatening thrombus, an aneurysm or pseudoaneurysm that threatens the viability of the define AV fistula or graft, or the treatment of a hemodialysis vascular access rupture that cannot be controlled through balloon tamponade.
Thrombotic obstruction of major obstacle hepatic veins (Budd-Chiari syndrome.)	Thrombotic obstruction of major hepatic veins (Budd-Chiari john major syndrome.)
Transvenous decompression of decompressing portosystemic shunts	shunt Transvenous decompression of portosystemic shunts
Post-operative stenosis or venous narrowing due to repair of congenital cardiac disease, e.g. sinus venosus Atrial Septal fistula Defect (ASD), discordant atrioventricular connection status post Mustard or Senning repair of Transposition of the Great Arteries (TGA).	Post-operative stenosis or venous narrowing due to repair of congenital cardiac disease, e.g. sinus venosus Atrial Septal Defect (ASD), discordant atrioventricular atrial connection status post Mustard or Senning repair of Transposition of the Great Arteries (TGA).
Pulmonary vein stenosis resulting from congenital malformation, extrinsic compression, sequelae of return radiofrequency ablation (RFA), lung transplantation, or status post repair of Total Anomalous Pulmonary Vein Return (TAPVR).	Pulmonary vein stenosis resulting from congenital malformation, extrinsic compression, sequelae position of radiofrequency ablation (RFA), lung transplantation, or status post repair of Total Anomalous Pulmonary Vein Return (TAPVR).
obesity (BMI > 39 kg/m2)	Severe obesity 39 kg/m2)
Prior placement of prosthetic valves	Prior placement of prosthetic valves
Known severe aortic stenosis	Known severe stenosis
Prior of grafts in coronary bypass surgery	placement of grafts coronary surgery
Suspicion of acute coronary syndrome (where unstable angina have not been ruled	of coronary syndrome (where MI or unstable have not been ruled out)
Intracoronary metallic stent	Intracoronary metallic stent
